6.5,2009-05-27 20:37:00 UTC,-73.999697,40.743365,-73.978583,40.734435,1,0
4.1,2012-03-04 00:57:00 UTC,-73.98581,40.731053,-73.979723,40.73509,2,1
6.5,2009-05-27 20:37:00 UTC,-73.984692,40.75939,-73.994955,40.754487,1,2
4.5,2009-02-06 01:05:43 UTC,-73.991086,40.724368,-73.999306,40.730001,1,3
12.1,2010-04-08 15:08:17 UTC,-73.988779,40.774127,-73.947591,40.776189,1,4
4.9,2010-07-27 13:23:21 UTC,-73.991494,40.737727,-73.99836,40.745406,1,5
16.1,2010-05-02 13:33:58 UTC,-73.958515,40.775918,-73.983668,40.72003,3,6
3.7,2010-02-25 20:14:00 UTC,-74.00409,40.725678,-74.001127,40.731587,5,7
6.9,2011-12-03 10:28:00 UTC,-73.971422,40.762128,-73.989392,40.758738,5,8
5.3,2009-12-07 20:49:00 UTC,-73.956785,40.766938,-73.957108,40.777568,1,9
5.3,2009-12-31 00:14:49 UTC,-73.993699,40.741572,-73.982661,40.75716,2,10
22.5,2012-05-10 18:43:16 UTC,-73.999043,40.739544,-73.970024,40.693096,2,11
13.0,2015-01-18 14:21:56 UTC,-73.9854965209961,40.732391357421875,-73.9715347290039,40.76350402832031,1,12
9.7,2010-01-30 01:55:05 UTC,-74.000114,40.730365,-73.994223,40.712312,1,13
11.7,2011-02-23 07:37:29 UTC,-74.002402,40.733154,-73.956997,40.766325,1,14
8.1,2012-07-05 13:56:17 UTC,-73.98033,40.722158,-74.007987,40.733793,1,15
18.1,2010-12-31 13:47:40 UTC,-73.872913,40.774135,-73.955234,40.719994,1,16
13.3,2011-10-05 08:14:00 UTC,-73.992297,40.758908,-74.011137,40.709563,1,17
6.9,2011-06-19 02:32:47 UTC,-73.980961,40.741817,-73.99837,40.732118,2,18
18.5,2011-03-16 23:28:36 UTC,-73.872901,40.774067,-73.949948,40.71029,1,19
45.5,2014-05-19 21:08:05 UTC,-73.955302,40.804565,-73.988586,40.661146,1,20
6.0,2015-05-21 19:49:34 UTC,-74.00530242919922,40.74088668823242,-74.00589752197266,40.73575973510742,1,21
13.0,2012-12-02 22:05:08 UTC,-73.971315,40.751365,-74.00939,40.726052,1,22
7.5,2014-02-24 18:22:00 UTC,-73.977417,40.757775,-73.98744,40.745502,1,23
13.0,2014-05-20 23:09:00 UTC,-74.00343,40.743332,-73.98996,40.719017,1,24
12.5,2013-04-18 08:48:00 UTC,-73.995943,40.736058,-73.979307,40.750763,2,25
8.5,2014-05-20 23:09:00 UTC,-73.982383,40.772572,-73.992675,40.758377,3,26
4.1,2010-04-29 12:28:00 UTC,-74.016237,40.710825,-74.013558,40.702337,1,27
3.3,2009-01-06 08:35:30 UTC,-74.010818,40.72035,-74.015959,40.717516,1,28
40.54,2015-06-26 15:03:50 UTC,-73.95800018310547,40.76504135131836,-73.86473846435547,40.7702522277832,1,29
35.83,2014-05-20 23:09:00 UTC,-73.874445,40.774037,-73.982382,40.78493,1,30
6.9,2009-10-14 08:20:19 UTC,-73.960063,40.762174,-73.952616,40.782501,1,31
12.0,2013-12-09 15:03:00 UTC,-74.007627,40.725892,-73.98459,40.755092,1,32
14.5,2009-06-20 14:59:20 UTC,-73.997625,40.736188,-73.949824,40.780458,1,33
8.1,2009-05-27 20:37:00 UTC,-73.956613,40.771222,-73.972853,40.78544,2,34
8.5,2009-02-16 14:19:57 UTC,-73.991791,40.738375,-74.004096,40.715983,1,35
24.5,2014-05-20 23:09:00 UTC,-73.949198,40.776865,-73.884307,40.750375,1,36
4.1,2012-03-04 00:57:00 UTC,-73.991005,40.75125,-73.983448,40.747882,5,37
